text_id,entity_text,entity_label,start_char,end_char,score
0,Antonio Guterres,PER,283,299,0.9996
0,COP,ORG,428,431,0.9968
1,COP,ORG,3,6,0.9435
1,Dubai,LOC,12,17,0.9991
1,United Arab Emirates,PER,103,123,0.6521
1,cy,PER,132,134,0.6601
2,World Bank,ORG,4,14,0.9999
2,Sub-Saharan Africa,LOC,111,129,0.9953
2,South Asia,LOC,134,144,0.9993
2,World Bank President,ORG,276,296,0.9702
2,Ajay Banga,PER,297,307,0.9966
3,National Climate Change Policy,ORG,9,39,0.9961
3,Ministry of Environment,ORG,270,293,0.9998
3,UNDP,ORG,339,343,0.975
3,European Union,ORG,352,366,0.9763
4,UNFCCC Executive Secretary,ORG,0,26,0.7946
4,Simon Stiell,PER,27,39,0.9972
4,Bonn Climate Change Conference,ORG,67,97,0.9993
4,Paris Agreement,ORG,191,206,0.9863
5,European Union,ORG,4,18,0.9967
5,s,ORG,19,20,0.7948
5,Carbon Border Adjustment Mechanism,ORG,21,55,0.9802
5,EU climate ambition,ORG,275,294,0.9784
6,United Nations General Assembly,ORG,23,54,0.9998
6,Climate Ambition Summit,ORG,66,89,0.9979
6,New York,LOC,93,101,0.9996
6,Paris Agreement,ORG,362,377,0.9235
7,FAO,ORG,0,3,0.9915
7,State of Food and Agriculture 2023,ORG,18,52,0.9987
7,Qu Dongyu,PER,317,326,0.9998
8,Green Climate Fund,ORG,4,22,0.9998
8,Songdo,LOC,109,115,0.9981
8,South Korea,LOC,117,128,0.8209
8,Bangladesh,LOC,201,211,0.9941
8,Congo Basin,LOC,259,270,0.9908
8,Jordan,LOC,316,322,0.9953
9,China's Special Envoy for Climate Change,ORG,0,40,0.8589
9,Xie Zhenhua,PER,41,52,0.8541
9,US Climate Envoy,ORG,62,78,0.9915
9,John Kerry,PER,79,89,0.999
9,"Sunnylands, California",LOC,93,115,0.8261
9,Paris Agreement,ORG,225,240,0.902
9,COP28,ORG,395,400,0.998
10,NASA,ORG,15,19,0.9998
10,Goddard Institute for Space Studies,ORG,22,57,0.9891
10,El Nino,ORG,198,205,0.9978
10,Southern Europe,LOC,311,326,0.9969
10,North Africa,LOC,328,340,0.9971
10,Middle East,LOC,350,361,0.9957
11,Science,ORG,21,28,0.5904
11,Greenland Ice,LOC,60,73,0.6817
11,She,ORG,74,77,0.5936
11,et,LOC,77,79,0.5897
11,satellite gravimetry,ORG,178,198,0.9932
11,GRACE,ORG,213,218,0.957
11,GRACE-FO,ORG,223,231,0.917
12,Arctic sea ice extent,LOC,4,25,0.9729
12,National Snow and Ice Data Center,ORG,103,136,0.9999
12,"Boulder, Colorado",LOC,140,157,0.6528
12,Ar,LOC,194,196,0.7454
13,biologi,ORG,7,14,0.6027
13,Great Barrier Reef Foundation,ORG,25,54,0.9994
14,Max Planck Institute for Meteorology,ORG,16,52,0.9999
14,Nature Geoscience,ORG,75,92,0.9978
14,Atlantic Meridional Overturning Circulation,ORG,110,153,0.9641
14,North Atlantic,LOC,255,269,0.9974
14,Northern Europe,LOC,326,341,0.9987
14,US East Coast,LOC,412,425,0.8594
15,Atmos,ORG,0,5,0.8483
15,CO2,ORG,12,15,0.8948
15,Mauna Loa Observatory,ORG,38,59,0.9949
15,Hawaii,LOC,63,69,0.9968
15,NOAA,ORG,128,132,0.9985
16,University of Leeds,ORG,21,40,0.9999
16,Geophysical Research Letters,ORG,220,248,0.9998
16,Himalaya,LOC,301,309,0.5272
17,World Meteorological Organization,ORG,4,37,0.9999
17,mean sea level,ORG,59,73,0.8948
17,The,ORG,174,177,0.7251
17,r,ORG,177,178,0.4148
17,expansion of ocean water,ORG,182,206,0.852
17,Cele,PER,339,343,0.9992
17,ste Saulo,PER,343,352,0.9984
18,Proceedings of the National Academy of Sciences,ORG,15,62,0.9987
18,Siberia,LOC,93,100,0.9941
18,Alaska,LOC,105,111,0.999
18,CO,ORG,157,159,0.5187
18,met,ORG,226,229,0.5369
19,Potsdam Institute for Climate Impact Research,ORG,18,63,0.9999
19,Greenland Ice Sheet,LOC,217,236,0.9925
19,West Antarctic Ice Sheet,LOC,242,266,0.993
19,Atlantic Meridional Overturning Circulation,LOC,321,364,0.8108
19,Science,ORG,393,400,0.9914
